,title,idNum,IPCNum,description
0,一种基于应用等级的消息传输系统,CN105376146A,H04L12/58,本发明公开一种基于应用等级的消息传输系统，包括：发送终端、接收终端和服务器，其中所述发送终端包括：第一应用等级设置单元，其用于逐一对所述应用程序设置等级，所述等级表示应用程序优先使用的顺序；消息等级设置单元，其用于为任意应用程序输入的消息设置消息等级，所述消息等级包括两级：重要级别和普通级别；所述接收终端包括：第二获取单元，其用于获取所使用终端的若干应用程序帐号，将所述应用程序的编程接口相互关联；第二应用等级设置单元，其用于逐一对所述应用程序设置等级，所述等级表示应用程序优先使用的顺序。本发明使得接收终端不需要登陆对应应用程序就能接收到对方发送的消息，从而在第一时间内就能看到对方发送的消息。
1,一种使用手机或平板电脑进行智能搜索电视节目的方法,CN105376618A,H04N21/41; H04N21/414; H04N21/44; H04N21/462; H04N21/466; H04N21/482,"本发明涉及一种使用手机或平板电脑进行智能搜索电视节目的方法。首先,对手机或者平板电脑通过语音串或者文字命令传输给电视，电视把语音串通过语音引擎转化为文字，然后根据用户输入的命令或关键字,在电视节目数据库中匹配电视节目，把用户喜欢的节目按照用户偏好罗列起来，在电视上显示或者推送到手机或者平板电脑上，提供给用户快速选择。电视节目搜索可根据用户输入的语音比较准确或用户输入的语音比较模糊，进行不同的搜索和结果显示。本发明使用电视、手机或者平板电脑作为显示工具，用户可迅速准确的找到所需的电视节日内容。"
2,一种基于大数据的交通运行状态特征参数提取方法,CN105389996A,G08G1/052; G06F17/30,本发明公开了一种基于大数据的交通运行状态特征参数提取方法，属于交通信息技术领域，其中交通大数据包括手机信令数据、GPS数据、基于视频、线圈断面交通流数据，交通运行状态特征参数包括车辆速度和道路流量。主要步骤如下：1)提取包含手机信令数据、GPS数据、基于视频、线圈断面交通流数据的交通大数据；2)采取基于泰森多边形的手机信令数据与GIS路网匹配方法将手机数据匹配到路网上；3)采取手机数据计算车辆速度，并以GPS数据为辅助，提高计算速度的精度；4)建立基于视频数据、线圈数据获取的高精度流量数据与手机数据提取流量数据的关系模型，提取流量信息。本发明可以在短时间内完成城市大范围的交通运行状态参数采集。
3,一种分布式医疗诊断系统,CN105404788A,G06F19/00,本发明为了优化手机等移动终端传输视频数据的速度，提高医疗诊断效率，提供了一种分布式医疗诊断系统，包括：服务器接收模块、服务器诊断模块、服务器筛选与传输模块、服务器显示模块，以及远程信息交互模块。本发明不但能够使得远程患者携带智能移动终端(包括但不限于智能手机、平板电脑等)即可高效率地获得远程医疗影像诊断服务，还能够让医疗人员也处于移动式工作状态，即医疗人员也能够使用智能移动终端提供远程医疗诊断服务。此外，本发明还能够在使用手机等智能移动终端时具有在不牺牲解析度和影像效果的前提下获得流畅的画面，提高了影像的传输效率。
4,医院自动分诊方法,CN105405087A,G06Q50/22,为了克服现有分诊系统和方法存在的对患者类型区分度以及电子标签的不便之处的弊端，本发明提供了一种医院自动分诊方法，包括：(1)获取患者信息；(2)根据患者信息，分配患者需要分诊的门诊和各个门诊的分诊优先级；(3)与患者相关联的手机建立无线链接；(4)通过所述无线链接向患者发送更新的分诊信息；(5)进行提醒和反馈更新：当步骤(4)的更新情况满足预设提醒条件时，等待患者的反馈信息：当接收到来自患者的、满足预设反馈条件的、针对某一门诊的反馈信息时，则继续按照步骤(4)向患者更新分诊信息；否则停止向患者更新该门诊的分诊信息，并调整该门诊的后续患者的分诊顺序。
5,一种智能家居控制系统,CN105353641A,G05B15/02; G05B19/418,"本发明公开了一种智能家居控制系统,包括主控系统、连接到主控系统的控制终端和智能家居设备，控制终端包括至少一台主人控制终端和至少一台客人控制终端；主控系统包括：通信模块，用于与控制终端与智能家居设备建立连接；注册模块，用于对智能家居与控制终端进行注册，并分配唯一ID；权限管理模块，包括：记录单元，用于记录每个客人控制终端首次注册的时间，以及自注册日期开始接入到系统的总次数，并生成对应的记录信息，该记录信息与客人控制终端的ID绑定；权限计算单元，用于根据客人控制终端接入到系统的总次数和注册时间计算出该客人控制终端连入到系统的周期，并根据该周期计算出相应的权限值；权限分配单元，用于为控制终端分配智能家居设置。本发明解决了权限管理的问题。"
6,智能婴儿保姆,CN105342585A,A61B5/0205; A61B5/11; A61B5/00,本发明公开了一种智能婴儿保姆，属于婴儿用品技术领域。其包括呼吸频率传感器，和/或，体温传感器，和/或，汗液分析仪，与吸频率传感器，和/或，体温传感器，和/或，汗液分析仪绑定的终端设备，呼吸频率传感器，和/或，体温传感器，和/或，汗液分析仪集成在婴儿服装或服饰上。其能够得到婴儿呼吸频率数据，和/或，婴儿体温数据；和/或，汗液分析数据；同时，将婴儿呼吸频率数据，和/或，婴儿体温数据，和/或，汗液分析数据发送至与其绑定的终端设备上，使婴儿的监护人实时得到婴儿的呼吸频率、体温、汗液信息，由于呼吸频率、体温、汗液信息与一些疾病有关联性，因此，能够使得婴儿的监护人的响应速度加快，进而帮助婴儿尽早就医。
7,城市交通远程动态监控系统,CN105374213A,G08G1/01,本发明公开了一种城市交通远程动态监控系统。其主要由以下部件构成：对道路现场所产生的数据进行动态采集的数据采集模块、对数据进行无线收发的无线数据收发基站、对数据进行分析的服务器、具有收发无线数据功能的移动终端(比如：智能手机等移动互联网设备)以及安装在移动终端上的APP软件构成。本发明所述系统采用无线传输技术，移动终端作为信息的终点，通过移动式的数据采集模块对交通现场进行远程监控，具备新颖性和创造性。通过所述系统，可以实现交通严重拥堵路段(救援和交通警察无法进入现场)进行实时远程监视和控制，是智慧城市系统的重要的一项辅助管理系统，是智慧交通的重要组成部分。
8,一种保护用户隐私的快递系统及其快递方法,CN105373910A,G06Q10/08; G06Q50/28,本发明公开了一种保护用户隐私的快递系统，其包括用户管理模块、任务创建模块、任务匹配模块和验证与签收模块，客户需要在快递系统上注册自己的个人信息，给客户分配唯一ID，用户在购买物品或者有快递需求的时候，提供用户ID就可以代替原来的个人信息，同时本发明还公开了一种基于所述快递系统的快递方法。
9,一种用于智能手机赛车游戏的方向盘,CN105381610A,A63F13/245; A63F13/803,本发明公开了一种用于智能手机赛车游戏的方向盘，固定基座的一端铰接有倾斜向上的连接板，连接板的上端部装接有方向控制盘，能够调节方向控制盘的角度，并在固定基座的底部设有吸盘，提高固定效果，放置晃动，便于智能手机赛车游戏的操作，并在方向控制盘上时钟显示面板，时钟显示面板上设有喇叭孔，提醒用户玩一段游戏后，进行休息，减少对眼睛的伤害，可折叠，体积小，方便携带，结构简单，具有良好的应用前景。
10,一种用于智能手机的游戏手柄,CN105381608A,A63F13/24; A63F13/90,本发明公开了一种用于智能手机的游戏手柄，在方向控制柄、按键控制柄之间通过连接板，连接板上设有用于放置智能手机的矩形凹槽，并通过吸盘放置手机晃动，而且，设置有显示面板和喇叭孔，提醒用户玩一段游戏后，进行休息，并增加温度显示，当连接板上的智能手机温度过高时，提醒用户停止游戏，避免对智能手机的损伤，并设置有护眼灯，减少对眼睛的伤害，在方向控制柄、按键控制柄之间还增加了加固杆，提高方向控制柄、按键控制柄连接的牢固性，结构简单，容易实现，具有良好的应用前景。
11,一种用于手机的放置支架,CN105391827A,H04M1/12,本发明公开了一种用于手机的放置支架，包括弧形基板，弧形基板的后端部上翘并形成固定座，固定座的底部与弧形基板前端部的最低处在一条水平面上，固定座中部设有缺口，固定座内嵌入有活动转轴，活动转轴贯穿缺口，活动转轴位于缺口的部分套接有支撑板，支撑板以活动转轴为轴旋转，支撑板的宽度自下而上逐渐增大，支撑板的长度小于弧形基板的长度，弧形基板上还设有用于与支撑板形状匹配的凹槽。本发明包括弧形基板和设置在弧形基板一端的支撑板，支撑板可旋转，不使用时，可折叠，体积小，方便携带，结构简单，容易实现，具有良好的应用前景。
12,一种快递信息采集系统及方法,CN105404997A,G06Q10/08; G06Q50/28,本发明涉及一种快递信息采集系统及方法，快递信息采集系统扫描终端和云服务器；揽件员通过扫描终端对快递单上的条形码或二维码信息以及寄件人信息和收件人信息进行扫描，扫描后的信息传输至云服务器进行存储；派件员通过扫描终端对待派送快递上的条形码或二维码进行扫描，并将扫描的信息发送给云服务器，向云服务器请求与扫描的条形码或二维码信息相匹配的收件人信息；云服务器将匹配的收件人信息反馈给派件员的扫描终端。本发明在快递的配送过程中就能够采集客户信息，从而有效缩短快递作业周期，提高物流工作人员的工作效率。另外，本发明还能够避免因快递是否送达产生的纠纷。
13,快件视频查询系统,CN105407328A,H04N7/18; H04N5/76; G06Q50/28; H04L29/08,本发明涉及一种快件视频查询系统，它包括物流终端、云服务器和视频客户端，物流终端将快件的视频信息发送给云服务器，视频客户端向云服务器发送快件视频查询请求，云服务器将所要查询的快件视频反馈给视频客户端进行显示。物流终端包括定位模块、视频采集模块、第一数据处理模块和第一通信模块；云服务器包括第二通信模块、解析模块、第二数据处理模块和视频存储模块；视频客户端包括人机交互模块和第三通信模块。本发明能够直观地显示快件的状态，方便客户实时了解快件的状况；而且客户对快递过程有质疑时，本发明能够提供相关证据。
14,一种无人值守的车场自动控制及收费系统、方法,CN105405173A,G07B15/04,本发明公开了一种无人值守的车场自动控制及收费系统、方法，包括：地感、控制单元、车牌识别单元、通信单元；其中，所述车牌识别单元分别与所述地感、控制单元相连，所述控制单元与所述通信单元相连。本发明提供的方案不需要对用户进行预登记或注册，在当车牌识别失败之后，车上的人进场时只需要打电话或发送信息给第一号码即可现实入场信息与移动终端的绑定，而不需要开车窗取卡或输号。准备去取车出场的时候，可用绑定的移动终端获取进场时间及所需停车费等信息推送，并可完成支付；或者驱车准备出闸道的时候，用绑定的移动终端拨通第一号码或发送信息给第一号码，即或获得进出场时间以及停车费用等信息推送，实现无人值守智能化自助缴费。
15,一种基于蓝牙的便携式多传感器多功能的物理实验系统,CN105405324A,G09B5/02; G09B23/06; G09B23/18; G01D21/02,本发明涉及一种基于蓝牙的便携式多传感器多功能的物理实验系统，该系统包括：数据采集模块1、控制器模块2、蓝牙无线传输模块3、数据处理与存储模块4、便携式数据显示模块5、交互模块6、电源模块7；控制器模块2读取数据采集模块1采集的数据并进行处理；控制器模块2将处理后的数据通过蓝牙无线传输模块3分别发送给数据处理与存储模块4和便携式数据显示模块5；数据处理与存储模块4完成数据的接收、处理与存储功能；便携式数据显示模块5接收控制器模块2发来的数据并将其绘制成图。通过上述方式，本发明使用手机观察物理量变化规律，用蓝牙传递数据，增加了便携性，而且体积小、集成多种传感器、可方便及时地进行数据处理。
16,一种基于FPGA的无人机建筑物探伤系统,CN105319218A,G01N21/88,本发明提供一种基于FPGA的无人机建筑物探伤系统，属于无人机领域，包括电源模块、传感器模块、图像采集模块、GPS模块、动作执行模块、无线通信模块、控制器模块、远程控制设备和无人机壳体；使用图像采集模块近距离采集建筑物图片，提高建筑物裂缝检测的精度；经过控制器模块压缩处理，由无线通信模块把图片信息传给远程控制设备供用户查看，用户可以很好了解高空建筑物的情况；用户根据传感器模块传回的感应数据，能更好控制无人机无死角拍摄，提高检测精度；本发明还进一步包括电量检测模块，实时检测电源的电量，防止作业过程中电源电量过低而出现事故意外，影响建筑物检测工作；解决现有建筑物探伤系统检测精度不高的问题。
17,一种手机对讲伴侣,CN105338194A,H04M1/725; H04B1/3827,本发明公开一种手机对讲伴侣，包括有一主控制器、一与主控制器连接的对讲模块、一与该主控制器连接的用于与手机进行连接的接口模块、一与对讲模块连接的射频天线及一供电装置。该手机对讲伴侣相比于对讲机而言无需设置键盘、送话器、听筒等部件，因此其结构简单、体积小巧；使用时仅需将对讲伴侣固定在身上，通过对手机的简单操作便能实现通信功能，使用非常方便；对人体而言，由于手机对讲伴侣的工作功率小，且远离人体头部，因此正常使用时产生的辐射几乎来源于手机本身，辐射较小。
18,物联网家用冷链周转箱运输检测系统及周转方法,CN105353752A,G05B19/418; G06Q10/08; G06Q50/28,<b>一种物联网家用冷链周转箱运输检测系统及周转方法。食品冷链是指易腐产品从加工、贮藏、运输、销售、直到送达消费者手中的特殊供应链系统，其各个环节产帚始终处于所必需的低温环境中，以保证食品质量安全。一种物联网家用冷链周转箱运输检测系统，其组成包括：冷链运输车辆（</b><b>2</b><b>）、居民楼</b><b>3</b><b>、温湿度探头（</b><b>13</b><b>），冷链运输车辆内安装有车载终端设备（</b><b>1</b><b>），车载终端设备通过</b><b>GPRS</b><b>网络与手机或计算机（</b><b>4</b><b>）连接，所述的车载终端设备通过与</b><b>GPS</b><b>定位卫星（</b><b>5</b><b>）连接，所述的居民楼的每一层都安装有冷链周转箱，所述的冷链运输车辆内具有冷链箱体（</b><b>14</b><b>），所述的车载终端设备与所述的温湿度探头连接。本发明应用于食品冷链周转箱的运输系统。</b>
19,一种手机放置支架,CN105357352A,H04M1/12,本发明公开了一种手机放置支架，包括第一支撑杆，第一支撑杆的上端部插接在固定座上，固定座中心设有活动转轴，第二、第三支撑杆呈左、右对称分布且上端部套接在活动转轴上，第二、第三支撑杆之间的夹角可调，第二、第三、第一支撑杆构成三角支撑架，第二、第三支撑杆下部的相同位置处设有均设有矩形缺口，矩形缺口的下内壁铰接有挡杆，挡杆可沿矩形缺口的下内壁旋转到垂直于第二支撑杆或第三支撑杆的角度，第二、第三支撑杆、挡杆形成用于放置手机的空间。本发明设有第二、第三、第一支撑杆构成三角支撑架，放置手机稳定性高，第一支撑杆可拆卸，第二、第三支撑杆能够合并收拢，体积小，方便携带，结构简单，具有良好的应用前景。
20,云端图片加载方法、装置及电子设备,CN105357325A,H04L29/08,本发明实施例公开了一种云端图片加载方法、装置及电子设备，所述方法应用于电子设备，所述方法包括：在所述电子设备未连通网络时，检测到执行加载图片操作时，获取所述加载图片操作中包括的待查看图片的标识；当所述电子设备未缓存所述待查看图片时，加载所述待查看图片的框架；每隔预定时间对所述电子设备的网络进行刷新；当检测到所述电子设备连通网络时，在已加载的所述待查看图片的框架中加载与所述待查看图片的标识相对应的图片数据。本发明适用于在用户手机所处的网络状态不好时对云端图片进行加载。
21,用于牙科手机的多孔负压式冷却结构,CN105342711A,A61C1/08,提供一种用于牙科手机的多孔负压式冷却结构，具有喷雾座，所述喷雾座设于牙科手机手柄端部的机头壳内且与机头壳相适配，所述喷雾座的两端外壁均设有用于水气密封的环形凹槽，位于上端的环形凹槽下方制有环状凹槽，且环状凹槽一端与机头壳内部设有的气孔相通形成环状气通道，所述环状凹槽另一端的内部均匀制有多个通向喷雾座下端面的气通道；位于下端的环形凹槽上方制有多个水通道，所述水通道一端与机头壳内部设有的进水孔相通，水通道另一端与气通道呈角度贯通。本发明利用负压原理用气将水带出，形成水雾达到冷却目的，冷却效果有了很大的改善，提高了手机安全使用率，延长了手机寿命。
22,提高心率检测准确性的方法和系统,CN105342596A,A61B5/0245; A61B5/11,本发明主要是解决现有产品所存在的技术问题，从而提供一种可以提高心率检测准确性的方法，可以实现可穿戴设备对心率数据的准确检测，同时提供一种可以准确检测心率准确性的系统，综合两种发明为老人的生命安全提供多一份保障。
23,一种小区智能安全系统,CN105355006A,G08B25/10; H04N7/18,本发明公开了一种小区智能安全系统，包括控制中心、闭路控制装置和启动模块，所述闭路控制装置与所述控制中心连接，包括多个设置在小区的重点区域的监控器，所述启动模块与所述监控器和所述控制中心连接，用于在接收到所述控制中心的控制指令或接收到大于等于预定的噪声信号或光强信号后，控制所述监控器对指定相向以指定角度进行监控，并将监控视频实时传送到所述控制中心。所述小区智能安全系统，通过增加启动模块，在达到预设条件后，控制监控器对预定方向以指定角度进行监控，降低了监控死角，提高了监控的灵活性和监控范围，提高了监控效果。
24,一种便于智能手机散热的游戏手柄,CN105344099A,A63F13/24; A63F13/90,本发明公开了一种便于智能手机散热的游戏手柄，在方向控制柄、按键控制柄之间通过连接板，连接板上设有用于放置智能手机的矩形凹槽，并通过吸盘放置手机晃动，而且，设置有时钟显示面板和喇叭孔，提醒用户玩一段游戏后，进行休息，减少对眼睛的伤害，并设有角度可以调整的散热风扇，方便智能手机的散热，保证有效的正常运行，结构简单，容易实现，具有良好的应用前景。
25,一种手机壳,CN105376371A,H04M1/02,本发明提供一种手机壳，包括壳体，还包括镜片、按钮、弹簧卡止机构，所述壳体侧面开设有凹槽，凹槽内设置有镜片；所述按钮设置于壳体背面，按钮与弹簧卡止机构相连接，弹簧卡止机构另一端与镜片相连接。所述镜片表面开设有限位槽，用于弹簧卡止机构的限位。按钮可控制镜片伸缩。本发明提供的手机壳，通过在手机壳侧面设置可以自动伸缩的镜片，方便人们使用手机拍照时，看到自己与镜头的对准位置，提高人们使用手机拍照的成功率，同时还可以有镜子照。镜子可伸缩，也防止了掉落产生的镜片破碎，增加安全性。
26,一种移动终端中基于图片显示的在线习题测试方法,CN105374249A,G09B7/02,本发明公开了一种移动终端中基于图片显示的在线习题测试方法。它包括如下步骤：1)由处理器将Word版本习题库中的每道习题内容生成不同分辨率的习题图片；2)将习题图片数据导入至后台数据库；3)处理器根据目标移动终端分辨率的反馈数据和习题需求指令，推送对应分辨率的习题图片；4)处理器根据目标移动终端提交的答案，进行批改，并将所有答题记录保存在后台数据库中；5)处理器结合用户群总体的答题情况判定习题难易程度，再根据目标移动终端的历史答题情况求推送相应的习题图片数据。本发明采用上述方法，解决了各类学科中设计到复杂数学公式的习题难以显示在移动手机端的问题。突破传统的试题显示局限，从而带给用户独特的测试体验。
27,一种智能热水供应系统,CN105371350A,F24D17/02; F24D19/10,本发明公开了一种智能热水供应系统，包括江水源热泵装置、智能控制装置和辅助加热装置，所述江水源热泵装置的输出端与用户的热水输入端连接，所述江水源热泵装置的输入端与所述辅助加热装置，所述辅助加热装置与所述智能控制装置，所述智能控制装置控制所述辅助加热装置将加热后的水输入到所述江水源热泵装置的输入端。所述智能热水供应系统，通过设置智能控制装置和辅助加热装置，对客户进行热水供应，可通过智能控制装置和辅助加热装置调节热水的供应水量和温度，满足用户的需求，同时使用江水源热泵装置，在辅助加热装置加热之前，水温较高，节省了辅助加热装置的电能。
28,电阻柜多功能监控装置,CN105375640A,H02J13/00,本发明提供的电阻柜多功能监控装置，包括处理器、用于采集电阻柜工作参数的信号采集单元、用于输出监控数据的信号输出单元、用于根据采集的工作参数自动对电阻柜进行保护的保护单元，以及用于电阻柜数据交换的通信单元；本发明的电阻柜多功能监控装置，可以对电阻柜各种参数进行检测及柜体环境调控，实现了自动化管理。自动控制报警、跳闸及报警信号参与后备保护，并且能够远程对电阻柜整体进行全面监控，保证系统的安全运行。
29,一种手机支架,CN105376374A,H04M1/11,本发明提供一种手机支架，包括倾斜设置的平台，固定于平台前部的挡板，以及固定于平台后部的支撑板，所述的挡板与平台呈锐角或直角设置，所述挡板中央有凹陷，所述平台顶端有限位柱。所述的前立板、平台和挡板为一体成型式结构。所述限位柱由可弯曲材料制成。本发明结构简单，固定大屏幕手机，适用于不同厚度和长度的手机的固定。由于平台顶端有限位柱，手机可以横放，也可以竖着放，限位柱可以弯曲，完全夹住手机。由于挡板中央有凹陷，可以容纳充电线，因此还能在充电时候放着，减轻手机用户手臂的酸痛。
30,一种液晶显示屏、液晶显示屏控制系统及其手机,CN105374322A,G09G3/34; H04M1/02,本发明提供一种具备镜子功能的液晶显示屏、液晶显示屏控制系统及其手机，液晶显示屏下贴合设置一软镜子，使得所述液晶显示屏工作在三种工作模式下：正常手机模式、待机模式和镜子模式；在所述镜子模式下，所述液晶显示屏的背光被开启，所述液晶显示屏停止上电；在所述正常手机模式下，所述液晶显示屏上电；所述待机模式下，所述液晶显示屏停止上电，所述液晶显示屏的背光被关闭。本发明通过背板电路和屏幕电路对于液晶显示屏和背光板的供电，实现了手机的镜子模式，不仅为用户提供了更加贴合用户实际使用的服务，也让手机的使用更加多元化，更加生活化，也更加智能化。
31,一种采用GSM远程控制电网通断的系统,CN105391176A,H02J13/00,本发明涉及一种采用GSM远程控制电网通断的系统，该系统由GSM信号发射设备、GSM信号接收模块、信号处理器、I/O接口、电动操作机构、传动机构、执行元件组成；信号发射设备用于发送控制指令；GSM信号接收模块用于接收控制指令；信号处理器用于对信号传送过来的控制指令进行辨别和处理；通过I/O接口去控制电动操作机构，电动操作机构通过中间的传动机构带动执行元件动作，用于执行信号处理器发送过来的操作指令，以控制电网接通或分断。本发明是技术人员通过多次实践设计出的一套采用GSM远程控制电网通断的系统，该系统不仅可控性强，而且成本低廉，通过现有成熟的通讯系统来达到远程控制的效果，非常值得推广和应用。
32,EMMC测试装置,CN105390163A,G11C29/56,本发明公开了一种EMMC测试装置，包括测试座、第一连接板、第二连接板、第一公连接器、第二公连接器、第一母连接器、第二母连接器和测试终端，所述测试座上设有用于放置待测试EMMC的容纳槽，所述第一连接板的一面用于与所述容纳槽内的待测试EMMC电连接，所述第一连接板的另一面分别与第一公连接器和第二公连接器电连接，所述第二连接板的一面与所述测试终端电连接，所述第二连接板的另一面分别与所述第一母连接器和第二母连接器电连接，第一母连接器插接在第一公连接器上，第二母连接器插接在第二公连接器上。本发明提供的EMMC测试装置，不仅对EMMC无损，而且操作简单方便，测试效率高。
33,一种智能遥控自行车锁,CN105386661A,E05B71/02; E05B49/00; E05B47/06; E05B9/00; E05B17/22,一种智能遥控自行车锁，包括全封闭金属外壳，微型电动机搭配减速齿轮组，电池，遥控模块，SIM卡槽和SIM卡，蓝牙模块，锁轴，丝杆，遥控器，控制器，无线收发天线，关锁启动开关，开关锁限位开关。在遥控器或手机控制端的控制下，电动机驱动推拉式锁轴或半圆型锁片到限位开关位置自动停止，完成开锁和关锁，实现了自行车锁的智能化，远程遥控开关车锁，能有效的提升自行车锁的防盗性能，使用便捷性。
34,一种稻田间水层监测装置及方法,CN105387908A,G01F23/00,本发明涉及一种稻田间水层监测装置及方法，属于农业灌溉监测技术领域。技术方案是：包含水层水位计(1)、防盗护井和远程通讯机(3)，水层水位计(1)设置在防盗护井内，防盗护井布置在水稻田间，水层水位计通过现地无线网络与远程通讯机(3)通讯；一台远程通讯机与一台以上的水层水位计通讯，远程通讯机通过无线公网与管理部门的计算机或智能手机通讯。本发明的积极效果：实现了大面积水稻田间水层的自动监测，控制水层厚度，节约灌溉用水，适应水稻成长。本发明考虑了监测装置的安装及防护，同时，也充分考虑作物轮回种植需求，水位测井采用可锁定、可拆除方式，避免了由于水位测井的存在影响大面积水稻田的统一机耕。
35,带袖子的被子,CN105394977A,A47G9/02,本发明涉及一种带袖子的被子，包括长方形的主被芯，主被芯一端两侧对称的设置拉链，拉链开口于主被芯的长边，拉链根部距离35～50cm，拉链与主被芯短边之间的部分为双层夹棉层，双层夹棉层两端开口形成袖管，拉链拉开后，所述袖管除根部外与主被芯脱开。所述拉链平行于主被芯短边，并距离短边20～30cm。本发明的优点是：造型新颖，功能性强，采用可独立出来保护手臂的袖管设计，解决了平时天冷坐床上看书或玩手机时普通被子对胳膊保护不了的问题，同时也可以作为普通被芯使用。
36,冲泡饮品的冲泡控制方法及其装置,CN105395062A,A47J31/40; A47J31/44,本公开是关于一种冲泡饮品的冲泡控制方法及其装置，其中方法包括以下步骤：获取当前可添加冲泡饮品的类型信息；获取当前时间信息和/或冲泡容器所在的当前环境信息；以及根据当前时间信息和/或当前环境信息，以及当前可添加冲泡饮品的类型信息从当前可添加冲泡饮品中确定推荐冲泡饮品及对应的冲泡参数信息。通过本公开实施例，根据用户所在当前时间信息、当前环境信息以及当前可添加冲泡饮品的类型信息，确定推荐冲泡饮品及对应的冲泡参数，从而确定出冲泡饮品的最佳冲泡方案，进而能够为用户推荐适合当前情况的冲泡饮品，同时还可改善冲泡饮品的冲泡质量，提升用户的使用体验。
37,一种基于HTTP协议的路由器远程管理系统,CN105407172A,H04L29/08; H04L29/06; H04L12/24; H04L12/26,本发明公开了一种基于HTTP协议的路由器远程管理系统，所述远程管理系统由路由器端、服务器端和控制终端组成，利用智能终端发出操作指令，并使用基于HTTP协议的通信方式，实现对路由器远程管理。本发明使用的HTTP通信基于通用端口80，避免受防火墙限制造成通讯故障，信号传输更加可靠。并且本发明还具有通用性能好，开发及维护费用低等优点。
